title,score,genres,consensus
Lady Bird,4,Comedy | Drama,Livers fresh insights about the turmoil of adolescence -- and reveals writer-director greta gerwig as a fully formed filmmaking talent.
A Ghost Story,3.5,Drama,"Ftly manages its ambitious themes through an inventive, artful, and ultimately poignant exploration of love and loss."
Columbus,4,Drama,"Lances the clean lines of architecture against the messiness of love, with tenderly moving results."
Graduation (Bacalaureat),3.8,Art House & International | Drama,Rks yet another well-written and powerfully acted look at morality and societal decay from writer-director cristian mungiu.
Truman,3.9,Art House & International | Comedy | Drama,Kes an affecting look at a long friendship separated by distance but undimmed by time.
Your Name. (Kimi No Na Wa.),4.6,Animation | Drama | Romance,Ds another outstanding chapter to writer-director makoto shinkai's filmography.
Dolores,4.2,Documentary,"Earths overlooked history to spotlight one of activism's most powerful -- and often forgotten -- voices, dolores huerta."
Menashe,3.5,Drama,Fers an intriguing look at a culture whose unfamiliarity to many viewers will be rendered irrelevant by the story's universally affecting themes and thoughtful approach.
Quest,4.1,Documentary,"Es one family's experiences to offer trenchant, wide-ranging observations about modern american life."
Jane,4.2,Documentary,"Nors its subject's legacy with an absorbing, beautifully filmed, and overall enlightening look at her decades of invaluable work."
Good Time,3.9,Drama, a singularly distinctive crime drama offering far more than the usual genre thrills.
The Red Turtle (La tortue rouge),3.9,Animation | Art House & International,Ds to studio ghibli's estimable legacy with a beautifully animated effort whose deceptively simple story boasts narrative layers as richly absorbing as its lovely visuals.
The Work,4.3,Documentary,"Kes a gut-wrenching look at lives all too often written off as lost causes, persuasively arguing that growth and change can be waiting where we least expect it."
Obit,3.9,Documentary,Ines an entertaining -- and overdue -- spotlight on an engaging group of people whose singular craft is too often taken for granted.
Icarus,4.5,Documentary," eye-opening viewing for professional sports enthusiasts, yet it should also prove thoroughly gripping even for filmgoers who might not necessarily be drawn to the subject."
The Other Side of Hope (Toivon tuolla puolen),3.8,Art House & International | Comedy | Drama,Ffering a timely drama whose melancholy air is leavened by its empathy.
All This Panic,3.5,Documentary,Fers an unvarnished look at the lives of young american women whose less compelling moments are more than balanced out by documentarian jenny gage's empathetic approach.
Maudie,4.2,Art House & International | Drama | Romance,Talented cast -- particularly sally hawkins in the title role -- breathe much-needed depth into a story that only skims the surface of a fascinating life and talent.
Silence,3.6,Drama,"Ds martin scorsese's decades-long creative quest with a thoughtful, emotionally resonant look at spirituality and human nature that stands among the director's finest works."
Land of Mine (Under Sandet),4.1,Art House & International | Drama,Es an oft-forgotten chapter from the aftermath of world war ii to tell a hard-hitting story whose period setting belies its timeless observations about bloodshed and forgiveness.
Okja,3.9,Action & Adventure | Drama | Science Fiction & Fantasy,Es bong joon-ho continuing to create defiantly eclectic entertainment -- and still hitting more than enough of his narrative targets in the midst of a tricky tonal juggling act.
Brawl in Cell Block 99,3.6,Action & Adventure | Mystery & Suspense,Des a committed vince vaughn performance into the brutally violent -- and undeniably entertaining -- depths of prison-set grindhouse genre fare.
Human Flow,3.8,Documentary,Fers a singularly expansive -- and sobering -- perspective on the global refugee crisis.
Abacus: Small Enough to Jail,4.1,Documentary,Anscends its less-than-dramatic trappings to present a gripping real-life legal thriller with far-reaching implications.
Frantz,4,Art House & International | Drama,Nds writer-director françois ozon thoughtfully probing the aftermath of world war i through the memories and relationships of loved ones left behind.
Detroit,3.8,Drama | Mystery & Suspense,Livers a gut-wrenching -- and essential -- dramatization of a tragic chapter from america's past that draws distressing parallels to the present.
Battle of the Sexes,3.6,Comedy | Drama | Sports & Fitness,"Rns real-life events into a crowd-pleasing, well-acted dramedy that ably entertains while smartly serving up a volley of present-day parallels."
Girls Trip,4,Comedy | Drama, the rare r-rated comedy that pushes boundaries to truly comedic effect -- and anchors its laughs in compelling characters brought to life by a brilliantly assembled cast.
Prevenge,3.3,Art House & International | Comedy | Drama | Horror | Science Fiction & Fantasy,Ould thrill fans of pitch-black horror-comedy -- and open untold opportunities for writer/director/star alice lowe.
Their Finest,3.7,Comedy | Drama | Romance,Oothly combines comedy and wartime drama to crowd-pleasing effect.
Darkest Hour,4,Drama," held together by gary oldman's electrifying performance, which brings winston churchill to life even when the movie's narrative falters."
The Lost City of Z,3.3,Action & Adventure | Drama,"Stately pace and visual grandeur hearken back to classic exploration epics, and charlie hunnam turns in a masterful performance as its complex protagonist."
Wind River,4.2,Drama | Mystery & Suspense,"Res viewers into a character-driven mystery with smart writing, a strong cast, and a skillfully rendered setting that delivers the bitter chill promised by its title."
20th Century Women,3.7,Comedy | Drama,Fers annette bening a too-rare opportunity to shine in a leading role -- and marks another assured step forward for writer-director mike mills.
The Women's Balcony (Ismach Hatani),3.9,Art House & International | Comedy | Drama,"Ckles complicated subjects with intelligence, compassion, and wit."
A Monster Calls,3.9,Comedy | Drama | Kids & Family | Science Fiction & Fantasy,Ftly balances dark themes and fantastical elements to deliver an engrossing and uncommonly moving entry in the crowded coming-of-age genre.
A Quiet Passion,3,Drama,"Fers a finely detailed portrait of a life whose placid passage may not have been inherently cinematic, but is made more affecting by cynthia nixon's strong performance."
Lady Macbeth,3.6,Art House & International | Drama,"Ashes some surprising toughness beneath its period exterior, bolstered by a mesmerizing -- and unforgiving -- central performance by florence pugh."
The B-Side: Elsa Dorfman's Portrait Photography,3.7,Documentary,Fers an intriguing glimpse at a distinctive artist's work that's as warmly engaging as its subject.
Raw,3.8,Horror,"Lurid violence and sexuality live up to its title, but they're anchored with an immersive atmosphere and deep symbolism that linger long after the provocative visuals fade."
The Breadwinner,4.1,Animation | Drama | Kids & Family,Stunning visuals are matched by a story that dares to confront sobering real-life issues with uncommon -- and richly rewarding -- honesty.
The Meyerowitz Stories (New and Selected),3.6,Comedy | Drama,Serves the family dynamic through writer-director noah baumbach's bittersweet lens and the impressive efforts of a remarkable cast.
Guardians of the Galaxy Vol. 2,4.2,Action & Adventure | Comedy | Science Fiction & Fantasy,"Action-packed plot, dazzling visuals, and irreverent humor add up to a sequel that's almost as fun -- if not quite as thrillingly fresh -- as its predecessor."
Thelma,3.7,Art House & International | Mystery & Suspense,"Ays with genre tropes in unexpected ways, delivering a thoughtfully twisty supernatural thriller with a lingering impact."
John Wick: Chapter 2,4.1,Action & Adventure | Drama,"Es what a sequel should -- which in this case means doubling down on the non-stop, thrillingly choreographed action that made its predecessor so much fun."
Stronger,3.9,Drama,Ses on the power of its well-chosen ensemble to offer an emotionally resonant fact-based story that transcends inspirational drama clichés.
It,4.1,Drama | Horror | Mystery & Suspense,Plifies the horror in stephen king's classic story without losing touch with its heart.
American Made,3.8,Action & Adventure | Drama | Mystery & Suspense,Fast-and-loose attitude with its real-life story mirrors the cavalier -- and delightfully watchable -- energy tom cruise gives off in the leading role.
It Comes At Night,2.8,Drama | Horror,Kes lethally effective use of its bare-bones trappings while proving once again that what's left unseen can be just as horrifying as anything on the screen.
Step,4.2,Documentary,Lls an irresistibly crowd-pleasing story in a thoroughly absorbing way -- and while smartly incorporating a variety of timely themes.
Dina,4,Documentary,"Esents a clear-eyed and uncommonly detailed view of one couple's relationship, offering insights as broadly illuminating as they are compassionate."
Whose Streets?,3.7,Documentary,"Kes a close-up look at the civil unrest that erupted after a shocking act of violence in ferguson, missouri - and the decades of simmering tension leading up to it."
Trophy,3.9,Documentary,"Fers a thought-provoking look at big-game hunting that should challenge, trouble, and enrage viewers regardless of their personal perspective."
In This Corner of the World (Kono sekai no katasumi ni),4.4,Animation | Art House & International | Drama,"Fers a unique ground-level perspective on an oft-dramatized period in history, further distinguished by beautiful hand-drawn animation."
"I, Daniel Blake",4.1,Art House & International | Drama,Rks yet another well-told chapter in director ken loach's powerfully populist filmography.
After the Storm (Umi yori mo mada fukaku),3.8,Art House & International | Drama,"Osses cultural lines to offer timeless observations about parental responsibilities, personal bonds, and the capacity for forgiveness."
Kedi,4.1,Documentary," a cat fancier's dream, but this thoughtful, beautifully filmed look at istanbul's street feline population offers absorbing viewing for filmgoers of any purr-suasion."
The Lego Batman Movie,3.9,Action & Adventure | Animation | Comedy | Kids & Family,Ntinues its block-buster franchise's winning streak with another round of dizzyingly funny -- and beautifully animated -- family-friendly mayhem.
BPM (Beats Per Minute) (120 battements par minute),4.1,Art House & International | Drama,Fers an engrossing look at a pivotal period in history that lingers long after the closing credits roll.
City of Ghosts,4.1,Documentary,"Kes a hard-hitting, ground-level look at atrocities in a part of the world that may seem foreign to many viewers, but whose impact will be no less devastating."
My Life as a Zucchini (Ma vie de courgette),4.1,Animation | Art House & International | Kids & Family,Silly title and adorable characters belie a sober story whose colorful visuals delight the senses even as it braves dark emotional depths.
"Faces Places (Visages, villages)",4.2,Art House & International | Documentary, a unique cross-generational portrait of life in rural france from the great agnès varda.
Mudbound,4,Drama,"Fers a well-acted, finely detailed snapshot of american history whose scenes of rural class struggle resonate far beyond their period setting."
The Disaster Artist,4.1,Comedy, a surprisingly poignant and charming movie-about-a-movie that explores the creative process with unexpected delicacy.
God's Own Country,4.2,Art House & International | Drama | Romance,Rks an outstanding directorial debut for francis lee.
Blade Runner 2049,4.1,Action & Adventure | Drama | Science Fiction & Fantasy,Epens and expands its predecessor's story while standing as an impressive filmmaking achievement in its own right.
The Salesman (Forushande),4,Art House & International | Drama | Mystery & Suspense,"Kes an ambitiously complex look at thought-provoking themes, and the well-acted results prove another consistently absorbing entry in writer-director asghar farhadi's distinguished filmography."
Hidden Figures,4.4,Drama,Lebrates overlooked -- and crucial -- contributions from a pivotal moment in american history.
I Am Not Your Negro,4.1,Documentary,Fers an incendiary snapshot of james baldwin's crucial observations on american race relations -- and a sobering reminder of how far we've yet to go.
War for the Planet of the Apes,4.1,Action & Adventure | Drama | Science Fiction & Fantasy,"Mbines breathtaking special effects and a powerful, poignant narrative to conclude this rebooted trilogy on a powerful -- and truly blockbuster -- note."
Spider-Man: Homecoming,4.2,Action & Adventure | Drama | Science Fiction & Fantasy,"Es whatever a second reboot can, delivering a colorful, fun adventure that fits snugly in the sprawling mcu without getting bogged down in franchise-building."
"Three Billboards Outside Ebbing, Missouri",4.2,Comedy | Drama,Ftly balances black comedy against searing drama -- and draws unforgettable performances from its veteran cast along the way.
Logan Lucky,3.7,Comedy,Rks a welcome end to steven soderbergh's retirement -- and proves he hasn't lost his ability to entertain.
Thor: Ragnarok,4.2,Action & Adventure | Drama | Science Fiction & Fantasy, a colorful cosmic adventure that sets a new standard for its franchise -- and the rest of the marvel cinematic universe.
Baby Driver,4.1,Action & Adventure | Drama,Ts the road and it's gone -- proving fast-paced action movies can be smartly written without sacrificing thrills.
The Florida Project,3.9,Drama,Fers a colorfully empathetic look at an underrepresented part of the population that proves absorbing even as it raises sobering questions about modern america.
The Shape of Water,3.8,Drama | Science Fiction & Fantasy | Romance,Nds guillermo del toro at his visually distinctive best -- and matched by an emotionally absorbing story brought to life by a stellar sally hawkins performance.
Star Wars: The Last Jedi,2.9,Action & Adventure | Drama | Science Fiction & Fantasy,Nors the saga's rich legacy while adding some surprising twists -- and delivering all the emotion-rich action fans could hope for.
Get Out,4.2,Comedy | Horror | Mystery & Suspense,Amlessly weaves its trenchant social critiques into a brilliantly effective and entertaining horror/comedy thrill ride.
The Big Sick,4.2,Comedy | Romance,Es its appealing leads and cross-cultural themes to prove the standard romcom formula still has some fresh angles left to explore.
Dunkirk,4,Action & Adventure | Drama,"Rves up emotionally satisfying spectacle, delivered by a writer-director in full command of his craft and brought to life by a gifted ensemble cast that honors the fact-based story."
Coco,4.5,Action & Adventure | Animation | Comedy,"Rich visual pleasures are matched by a thoughtful narrative that takes a family-friendly -- and deeply affecting -- approach to questions of culture, family, life, and death."
